name,fileending
,ANNIS
audio/asc,asc
application/atom+xml,atom
,bib
,bibtex
,bzip2
,CHAT
,cldf
,cpp
text/css,css
text/csv,csv
,dat
,database
,doc
,docx
,EDRM XML
application/vnd.ms-excel,excel
,format-value
,gd
,gen
application/geo+json,GeoJSON
application/gzip,gz
,h
text/html,html
,IETF MIME
,ipnyb
,ipynb
jpeg,jpg
application/javascript,js
application/json,json
,lmdb
,mat
text/markdown,md
,mp3
,mpi
,newick
,npy
,or
,p
,parquet
application/pdf,pdf
,pkl
,pmc
image/png,png
,PST
,py
,R
,Rdata
application/rdf+xml,rdf
,Rmd
,sav
,shapefile
,sm
,smi
,sources
,spss
,SPSS
application/sql,sql
application/vnd.sqlite3,sqlite
,srt
,ssa
,sub
,tab
,tar
,tar.gz
,tei
application/tei+xml,TEI XML
,text
text/tab-separated-values,tsv
,txm
,txt
,txt.gz
,wav
,wordlempos
application/vnd.ms-excel,xls
,xlsx
application/xml,xml
,yml
application/zip,zip
